series,varied_parameter,grid_value,n,skewness,excess_kurtosis,outlier_fraction,extreme_count,robustness_level,transition,transition_from,transition_to
skew_1_n40,skewness,0.95,40,0.95,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.955,40,0.955,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.96,40,0.96,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.965,40,0.965,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.97,40,0.97,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.975,40,0.975,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.98,40,0.98,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.985,40,0.985,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.99,40,0.99,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,0.995,40,0.995,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,1.0,40,1.0,0.0,0.0,0,acceptable,0,,
skew_1_n40,skewness,1.005,40,1.005,0.0,0.0,0,insufficient,1,acceptable,insufficient
skew_1_n40,skewness,1.01,40,1.01,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.015,40,1.015,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.02,40,1.02,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.025,40,1.025,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.03,40,1.03,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.035,40,1.035,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.04,40,1.04,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.045,40,1.045,0.0,0.0,0,insufficient,0,,
skew_1_n40,skewness,1.05,40,1.05,0.0,0.0,0,insufficient,0,,
skew_2_n80,skewness,1.95,80,1.95,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.955,80,1.955,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.96,80,1.96,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.965,80,1.965,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.97,80,1.97,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.975,80,1.975,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.98,80,1.98,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.985,80,1.985,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.99,80,1.99,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,1.995,80,1.995,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,2.0,80,2.0,0.0,0.01,1,caution,0,,
skew_2_n80,skewness,2.005,80,2.005,0.0,0.01,1,insufficient,1,caution,insufficient
skew_2_n80,skewness,2.01,80,2.01,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.015,80,2.015,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.02,80,2.02,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.025,80,2.025,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.03,80,2.03,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.035,80,2.035,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.04,80,2.04,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.045,80,2.045,0.0,0.01,1,insufficient,0,,
skew_2_n80,skewness,2.05,80,2.05,0.0,0.01,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,2.95,40,0.5,2.95,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.955,40,0.5,2.955,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.96,40,0.5,2.96,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.965,40,0.5,2.965,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.97,40,0.5,2.97,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.975,40,0.5,2.975,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.98,40,0.5,2.98,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.985,40,0.5,2.985,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.99,40,0.5,2.99,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,2.995,40,0.5,2.995,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,3.0,40,0.5,3.0,0.02,1,caution,0,,
kurtosis_3_n40,excess_kurtosis,3.005,40,0.5,3.005,0.02,1,insufficient,1,caution,insufficient
kurtosis_3_n40,excess_kurtosis,3.01,40,0.5,3.01,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.015,40,0.5,3.015,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.02,40,0.5,3.02,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.025,40,0.5,3.025,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.03,40,0.5,3.03,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.035,40,0.5,3.035,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.04,40,0.5,3.04,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.045,40,0.5,3.045,0.02,1,insufficient,0,,
kurtosis_3_n40,excess_kurtosis,3.05,40,0.5,3.05,0.02,1,insufficient,0,,
kurtosis_7_n80,excess_kurtosis,6.95,80,1.5,6.95,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.955,80,1.5,6.955,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.96,80,1.5,6.96,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.965,80,1.5,6.965,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.97,80,1.5,6.97,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.975,80,1.5,6.975,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.98,80,1.5,6.98,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.985,80,1.5,6.985,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.99,80,1.5,6.99,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,6.995,80,1.5,6.995,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,7.0,80,1.5,7.0,0.05,1,caution,0,,
kurtosis_7_n80,excess_kurtosis,7.005,80,1.5,7.005,0.05,1,insufficient,1,caution,insufficient
kurtosis_7_n80,excess_kurtosis,7.01,80,1.5,7.01,0.05,1,insufficient,0,,
kurtosis_7_n80,excess_kurtosis,7.015,80,1.5,7.015,0.05,1,insufficient,0,,
kurtosis_7_n80,excess_kurtosis,7.02,80,1.5,7.02,0.05,1,insufficient,0,,
kurtosis_7_n80,excess_kurtosis,7.025,80,1.5,7.025,0.05,1,insufficient,0,,
