policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v2,bimodal_asymmetric,bimodal,5,all,200,200,1.0,0.9811546736227335,1.0,0.18,0.13294625859420173,0.23911475028724882,0.82,0.7608852497127511,0.8670537414057983
v2,bimodal_asymmetric,bimodal,5,acceptable,200,75,0.375,0.31085436858409826,0.44385696301021843,0.25333333333333335,0.16860049363552168,0.36210326865599607,0.7466666666666667,0.6378967313440042,0.8313995063644785
v2,bimodal_asymmetric,bimodal,5,caution,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,5,insufficient,200,125,0.625,0.5561430369897816,0.6891456314159018,0.136,0.08667630156716497,0.2070293050524967,0.864,0.7929706949475033,0.913323698432835
v3_default,bimodal_asymmetric,bimodal,5,all,200,200,1.0,0.9811546736227335,1.0,0.18,0.13294625859420173,0.23911475028724882,0.82,0.7608852497127511,0.8670537414057983
v3_default,bimodal_asymmetric,bimodal,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,5,caution,200,200,1.0,0.9811546736227335,1.0,0.18,0.13294625859420173,0.23911475028724882,0.82,0.7608852497127511,0.8670537414057983
v3_default,bimodal_asymmetric,bimodal,5,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,5,all,200,200,1.0,0.9811546736227335,1.0,0.18,0.13294625859420173,0.23911475028724882,0.82,0.7608852497127511,0.8670537414057983
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,5,caution,200,200,1.0,0.9811546736227335,1.0,0.18,0.13294625859420173,0.23911475028724882,0.82,0.7608852497127511,0.8670537414057983
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,5,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,8,all,200,200,1.0,0.9811546736227335,1.0,0.14,0.09866982633455634,0.1948988086570756,0.86,0.8051011913429243,0.9013301736654437
v2,bimodal_asymmetric,bimodal,8,acceptable,200,85,0.425,0.3585361254351385,0.49429067352145145,0.25882352941176473,0.1775809987247225,0.36092275229146714,0.7411764705882353,0.639077247708533,0.8224190012752776
v2,bimodal_asymmetric,bimodal,8,caution,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,8,insufficient,200,115,0.575,0.5057093264785485,0.6414638745648614,0.05217391304347826,0.024128549061825502,0.10917054519277662,0.9478260869565217,0.8908294548072233,0.9758714509381745
v3_default,bimodal_asymmetric,bimodal,8,all,200,200,1.0,0.9811546736227335,1.0,0.14,0.09866982633455634,0.1948988086570756,0.86,0.8051011913429243,0.9013301736654437
v3_default,bimodal_asymmetric,bimodal,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,8,caution,200,200,1.0,0.9811546736227335,1.0,0.14,0.09866982633455634,0.1948988086570756,0.86,0.8051011913429243,0.9013301736654437
v3_default,bimodal_asymmetric,bimodal,8,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,8,all,200,200,1.0,0.9811546736227335,1.0,0.14,0.09866982633455634,0.1948988086570756,0.86,0.8051011913429243,0.9013301736654437
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,8,caution,200,200,1.0,0.9811546736227335,1.0,0.14,0.09866982633455634,0.1948988086570756,0.86,0.8051011913429243,0.9013301736654437
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,8,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,10,all,200,200,1.0,0.9811546736227335,1.0,0.1,0.06567044866909588,0.1494058124327174,0.9,0.8505941875672826,0.9343295513309041
v2,bimodal_asymmetric,bimodal,10,acceptable,200,74,0.37,0.30612608409859116,0.4387737007594981,0.1891891891891892,0.11617969566734553,0.2928755726060837,0.8108108108108109,0.7071244273939165,0.8838203043326546
v2,bimodal_asymmetric,bimodal,10,caution,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,10,insufficient,200,126,0.63,0.5612262992405018,0.6938739159014088,0.047619047619047616,0.02200448838795111,0.10000167947689512,0.9523809523809523,0.8999983205231048,0.9779955116120489
v3_default,bimodal_asymmetric,bimodal,10,all,200,200,1.0,0.9811546736227335,1.0,0.1,0.06567044866909588,0.1494058124327174,0.9,0.8505941875672826,0.9343295513309041
v3_default,bimodal_asymmetric,bimodal,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,10,caution,200,200,1.0,0.9811546736227335,1.0,0.1,0.06567044866909588,0.1494058124327174,0.9,0.8505941875672826,0.9343295513309041
v3_default,bimodal_asymmetric,bimodal,10,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,10,all,200,200,1.0,0.9811546736227335,1.0,0.1,0.06567044866909588,0.1494058124327174,0.9,0.8505941875672826,0.9343295513309041
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,10,caution,200,200,1.0,0.9811546736227335,1.0,0.1,0.06567044866909588,0.1494058124327174,0.9,0.8505941875672826,0.9343295513309041
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,10,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,15,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v2,bimodal_asymmetric,bimodal,15,acceptable,200,66,0.33,0.26857425870603957,0.39783315226223115,0.12121212121212122,0.06271845599597657,0.22137439022640315,0.8787878787878788,0.7786256097735968,0.9372815440040234
v2,bimodal_asymmetric,bimodal,15,caution,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,15,insufficient,200,134,0.67,0.602166847737769,0.7314257412939605,0.04477611940298507,0.020680488853388614,0.09424472273553466,0.9552238805970149,0.9057552772644654,0.9793195111466114
v3_default,bimodal_asymmetric,bimodal,15,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_default,bimodal_asymmetric,bimodal,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,15,caution,200,198,0.99,0.9642782382838231,0.9972533418664555,0.0707070707070707,0.042582704187744666,0.11517209508260982,0.9292929292929293,0.8848279049173902,0.9574172958122553
v3_default,bimodal_asymmetric,bimodal,15,insufficient,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0,0.0,0.6576197724933469,1.0,0.34238022750665303,1.0
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,15,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,15,caution,200,198,0.99,0.9642782382838231,0.9972533418664555,0.0707070707070707,0.042582704187744666,0.11517209508260982,0.9292929292929293,0.8848279049173902,0.9574172958122553
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,15,insufficient,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0,0.0,0.6576197724933469,1.0,0.34238022750665303,1.0
