policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,denominator_sufficient,confirmatory_cell,operating_region
v2,bimodal_asymmetric,bimodal,5,acceptable,200,75,0.375,0.31085436858409826,0.44385696301021843,0.25333333333333335,0.16860049363552168,0.36210326865599607,0.7466666666666667,0.6378967313440042,0.8313995063644785,False,False,false_safe
v3_default,bimodal_asymmetric,bimodal,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,8,acceptable,200,85,0.425,0.3585361254351385,0.49429067352145145,0.25882352941176473,0.1775809987247225,0.36092275229146714,0.7411764705882353,0.639077247708533,0.8224190012752776,False,False,false_safe
v2,bimodal_asymmetric,bimodal,8,insufficient,200,115,0.575,0.5057093264785485,0.6414638745648614,0.05217391304347826,0.024128549061825502,0.10917054519277662,0.9478260869565217,0.8908294548072233,0.9758714509381745,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,10,acceptable,200,74,0.37,0.30612608409859116,0.4387737007594981,0.1891891891891892,0.11617969566734553,0.2928755726060837,0.8108108108108109,0.7071244273939165,0.8838203043326546,False,False,false_safe
v2,bimodal_asymmetric,bimodal,10,insufficient,200,126,0.63,0.5612262992405018,0.6938739159014088,0.047619047619047616,0.02200448838795111,0.10000167947689512,0.9523809523809523,0.8999983205231048,0.9779955116120489,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,15,acceptable,200,66,0.33,0.26857425870603957,0.39783315226223115,0.12121212121212122,0.06271845599597657,0.22137439022640315,0.8787878787878788,0.7786256097735968,0.9372815440040234,False,False,false_safe
v2,bimodal_asymmetric,bimodal,15,insufficient,200,134,0.67,0.602166847737769,0.7314257412939605,0.04477611940298507,0.020680488853388614,0.09424472273553466,0.9552238805970149,0.9057552772644654,0.9793195111466114,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,bimodal_asymmetric,bimodal,15,insufficient,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0,0.0,0.6576197724933469,1.0,0.34238022750665303,1.0,False,False,false_insufficient
v3_scenario_context,bimodal_asymmetric,bimodal,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,15,insufficient,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0,0.0,0.6576197724933469,1.0,0.34238022750665303,1.0,False,False,false_insufficient
v2,bimodal_asymmetric,bimodal,20,acceptable,200,55,0.275,0.21779700329307355,0.34068339357669647,0.10909090909090909,0.05096725000782336,0.21825549086553508,0.8909090909090909,0.7817445091344648,0.9490327499921767,False,False,false_safe
v2,bimodal_asymmetric,bimodal,20,insufficient,200,145,0.725,0.6593166064233035,0.7822029967069265,0.020689655172413793,0.007060912231321711,0.05905950138643182,0.9793103448275862,0.9409404986135681,0.9929390877686783,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,30,acceptable,200,42,0.21,0.15928412069979,0.2716461685990246,0.09523809523809523,0.03766224880557388,0.22065105808571023,0.9047619047619048,0.7793489419142897,0.9623377511944261,False,False,false_safe
v2,bimodal_asymmetric,bimodal,30,insufficient,200,158,0.79,0.7283538314009754,0.8407158793002101,0.04430379746835443,0.021623955563445332,0.08861639292761016,0.9556962025316456,0.9113836070723899,0.9783760444365547,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,40,acceptable,200,28,0.14,0.09866982633455634,0.1948988086570756,0.07142857142857142,0.019812064115305755,0.22645362568399052,0.9285714285714286,0.7735463743160095,0.9801879358846942,False,False,false_safe
v3_default,bimodal_asymmetric,bimodal,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,50,acceptable,200,28,0.14,0.09866982633455634,0.1948988086570756,0.10714285714285714,0.03711836682929999,0.27195851548672156,0.8928571428571429,0.7280414845132785,0.9628816331707,False,False,false_safe
v2,bimodal_asymmetric,bimodal,50,insufficient,200,158,0.79,0.7283538314009754,0.8407158793002101,0.05063291139240506,0.025876825383582304,0.09672129604509741,0.9493670886075949,0.9032787039549025,0.9741231746164177,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,80,acceptable,200,20,0.1,0.06567044866909588,0.1494058124327174,0.25,0.11186170140766569,0.468700877618744,0.75,0.531299122381256,0.8881382985923343,False,False,false_safe
v2,bimodal_asymmetric,bimodal,80,insufficient,200,72,0.36,0.2966919730456654,0.42858471833996925,0.027777777777777776,0.007651021904494577,0.09574175221438225,0.9722222222222222,0.9042582477856177,0.9923489780955054,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,100,insufficient,200,71,0.355,0.2919862754043116,0.42347886924509565,0.028169014084507043,0.007759263582683522,0.0970150011664947,0.971830985915493,0.9029849988335054,0.9922407364173166,False,False,false_insufficient
v3_default,bimodal_asymmetric,bimodal,100,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,bimodal_asymmetric,bimodal,100,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,bimodal_asymmetric,bimodal,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
