policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v2,bimodal_symmetric,bimodal,300,acceptable,10000,10000,1.0,0.9996160016293234,1.0,0.0494,0.04532304560552551,0.05382301372612823,0.9506,0.9461769862738717,0.9546769543944745
v2,bimodal_symmetric,bimodal,300,caution,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v2,bimodal_symmetric,bimodal,300,insufficient,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_default,bimodal_symmetric,bimodal,300,acceptable,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_default,bimodal_symmetric,bimodal,300,caution,10000,10000,1.0,0.9996160016293234,1.0,0.0494,0.04532304560552551,0.05382301372612823,0.9506,0.9461769862738717,0.9546769543944745
v3_default,bimodal_symmetric,bimodal,300,insufficient,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_oracle_simulation_truth,bimodal_symmetric,bimodal,300,acceptable,10000,10000,1.0,0.9996160016293234,1.0,0.0494,0.04532304560552551,0.05382301372612823,0.9506,0.9461769862738717,0.9546769543944745
v3_oracle_simulation_truth,bimodal_symmetric,bimodal,300,caution,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v3_oracle_simulation_truth,bimodal_symmetric,bimodal,300,insufficient,10000,0,0.0,0.0,0.00038399837067659573,,,,,,
v2,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,acceptable,5000,2711,0.5422,0.5283632782389289,0.5559719277169084,0.08188860199188491,0.07214907599254508,0.09281137035898254,0.918111398008115,0.9071886296410174,0.9278509240074548
v2,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,caution,5000,278,0.0556,0.049582913854809285,0.06229941963395749,0.08633093525179857,0.05869931263435811,0.1252390583832123,0.9136690647482014,0.8747609416167877,0.9413006873656419
v2,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,insufficient,5000,2011,0.4022,0.38868875808366476,0.41586140441678854,0.018896071606166086,0.013797730551680102,0.02582894005863486,0.9811039283938339,0.9741710599413651,0.9862022694483199
v3_default,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
v3_default,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,caution,5000,3012,0.6024,0.5887610876239092,0.6158816870177432,0.08167330677290836,0.07241741214834437,0.09199489718259325,0.9183266932270916,0.9080051028174067,0.9275825878516556
v3_default,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,insufficient,5000,1988,0.3976,0.38411831298225696,0.4112389123760909,0.019114688128772636,0.01395771534751223,0.02612652854003377,0.9808853118712274,0.9738734714599663,0.9860422846524878
v3_oracle_simulation_truth,contamination_asymmetric_eps_0p005,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,
